iter	MultiClass
0	1.066587029
1	1.036978468
2	1.009820012
3	0.9845485459
4	0.9610338597
5	0.9391435961
6	0.9187429629
7	0.8997128461
8	0.8816202616
9	0.8649334755
10	0.8491344201
11	0.8343323511
12	0.8203181026
13	0.8069925327
14	0.7946342401
15	0.7828419717
16	0.7717184921
17	0.7612701126
18	0.7512736637
19	0.7418798142
20	0.7328559153
21	0.7243277484
22	0.7162885226
23	0.7085861686
24	0.7012874791
25	0.6943159541
26	0.6876568589
27	0.6814924052
28	0.6754573598
29	0.6697684329
30	0.6642815095
31	0.6590316635
32	0.6541805228
33	0.6494560206
34	0.6449872305
35	0.6409288289
36	0.6368220006
37	0.6328903159
38	0.6291974292
39	0.6256297533
40	0.6221894967
41	0.6189494215
42	0.6158011508
43	0.6128333395
44	0.6100505073
45	0.6073748268
46	0.6048585051
47	0.6023270989
48	0.5999396336
49	0.597703452
50	0.5956013085
51	0.5934556919
52	0.5914894751
53	0.5896297099
54	0.58786452
55	0.5860855982
56	0.5844068383
57	0.5827403567
58	0.5811921977
59	0.5797238692
60	0.5783451457
61	0.5768589522
62	0.5755474768
63	0.5742391853
64	0.5730769264
65	0.5719432251
66	0.5708237214
67	0.5698159676
68	0.5688144323
69	0.5677745309
70	0.5668174856
71	0.565941772
72	0.5650790432
73	0.5642534842
74	0.5634850938
75	0.5626501915
76	0.5618307472
77	0.5611007854
78	0.5604137572
79	0.5597512537
80	0.5591335376
81	0.5585092143
82	0.557946083
83	0.5574199066
84	0.5568889558
85	0.5563427206
86	0.5557832674
87	0.5553018842
88	0.5548193434
89	0.554353512
90	0.5539179143
91	0.5534708201
92	0.5530558482
93	0.5526576013
94	0.5522737031
95	0.551904646
96	0.5515817107
97	0.5511848455
98	0.5508662962
99	0.5505393512
100	0.5502277411
101	0.5498724286
102	0.5495839139
103	0.5493314489
104	0.5490286903
105	0.5487477622
106	0.5484684872
107	0.5482454865
108	0.5478975369
109	0.5476649922
110	0.5473281785
111	0.5470368908
112	0.546803648
113	0.5465891648
114	0.5463813083
115	0.546121101
116	0.5459295002
117	0.5457154101
118	0.5455397453
119	0.5452876303
120	0.5451188267
121	0.544940099
122	0.5447202916
123	0.5446000606
124	0.5444218305
125	0.5442284669
126	0.54403507
127	0.5438641282
128	0.5436923047
129	0.5434934853
130	0.5433108461
131	0.5431579751
132	0.5429692328
133	0.5428084907
134	0.5426823536
135	0.5425140563
136	0.5423971621
137	0.5422009259
138	0.542061792
139	0.5419046697
140	0.5417525689
141	0.5416666938
142	0.5415299627
143	0.5413739247
144	0.541275387
145	0.5411426261
146	0.540998576
147	0.5408555461
148	0.5406855788
149	0.540531531
150	0.5403487876
151	0.5402411519
152	0.5401440647
153	0.5400387808
